date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:23:20	86264/86264	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Mar%202025%2008:23:20%20GMT	https://www.bancopatagonia.com.ar/personas/index.php	/home/pablo/websites/bancopatagonia/www.bancopatagonia.com.ar/personas/index.html	(from )
05:23:23	50450/50450	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Mar%202025%2008:23:23%20GMT	https://www.bancopatagonia.com.ar/preguntas-frecuentes/index.php	/home/pablo/websites/bancopatagonia/www.bancopatagonia.com.ar/preguntas-frecuentes/index.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
05:23:24	47963/47963	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Mar%202025%2008:23:24%20GMT	https://www.bancopatagonia.com.ar/nyps/index.php	/home/pablo/websites/bancopatagonia/www.bancopatagonia.com.ar/nyps/index.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
05:23:25	570/570	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Mar%202025%2008:23:22%20GMT	https://www.googletagmanager.com/ns.html?id=GTM-NL73B44	/home/pablo/websites/bancopatagonia/www.googletagmanager.com/ns5408.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
05:23:25	56626/56626	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Mar%202025%2008:23:25%20GMT	https://www.bancopatagonia.com.ar/pyme/index.php	/home/pablo/websites/bancopatagonia/www.bancopatagonia.com.ar/pyme/index.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
05:23:26	57366/57366	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Mar%202025%2008:23:26%20GMT	https://www.bancopatagonia.com.ar/agro/index.php	/home/pablo/websites/bancopatagonia/www.bancopatagonia.com.ar/agro/index.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
05:23:27	56778/56778	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Mar%202025%2008:23:27%20GMT	https://www.bancopatagonia.com.ar/empresas/index.php	/home/pablo/websites/bancopatagonia/www.bancopatagonia.com.ar/empresas/index.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
05:23:28	43523/43523	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Mar%202025%2008:23:28%20GMT	https://www.bancopatagonia.com.ar/sector-publico/index.php	/home/pablo/websites/bancopatagonia/www.bancopatagonia.com.ar/sector-publico/index.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
05:23:29	1521/1521	---M--	200	added ('OK')	text/html	etag:%22460-63159fbe1e600:dtagent103092503101007598rMu%22	https://tunuevacuenta.bancopatagonia.com.ar/?utm_source=sitiowebbp&utm_medium=sitiowebbp%20banner%20home&utm_campaign=onboarding_sitiowebp_bannerhome	/home/pablo/websites/bancopatagonia/tunuevacuenta.bancopatagonia.com.ar/indexe0b0.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
05:23:29	43455/43455	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Mar%202025%2008:23:29%20GMT	https://www.bancopatagonia.com.ar/institucional/index.php	/home/pablo/websites/bancopatagonia/www.bancopatagonia.com.ar/institucional/index.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
05:23:31	49335/49335	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Mar%202025%2008:23:31%20GMT	https://www.bancopatagonia.com.ar/personas/patagonia-clasica/patagonia-ahorro/productos.php	/home/pablo/websites/bancopatagonia/www.bancopatagonia.com.ar/personas/patagonia-clasica/patagonia-ahorro/productos.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
05:23:32	53123/53123	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Mar%202025%2008:23:32%20GMT	https://www.bancopatagonia.com.ar/personas/patagonia-clasica/paquete/productos.php	/home/pablo/websites/bancopatagonia/www.bancopatagonia.com.ar/personas/patagonia-clasica/paquete/productos.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
05:23:32	36179/36179	---MC-	200	added ('OK')	text/html	date:Fri,%2028%20Mar%202025%2008:23:30%20GMT	https://ebankpersonas.bancopatagonia.com.ar/eBanking/usuarios/login.htm	/home/pablo/websites/bancopatagonia/ebankpersonas.bancopatagonia.com.ar/eBanking/usuarios/login.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
05:23:33	54069/54069	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Mar%202025%2008:23:33%20GMT	https://www.bancopatagonia.com.ar/personas/patagonia-clasica/premium/productos.php	/home/pablo/websites/bancopatagonia/www.bancopatagonia.com.ar/personas/patagonia-clasica/premium/productos.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
05:23:34	49859/49859	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Mar%202025%2008:23:34%20GMT	https://www.bancopatagonia.com.ar/personas/patagonia-clasica/patagonia-sueldo/productos.php	/home/pablo/websites/bancopatagonia/www.bancopatagonia.com.ar/personas/patagonia-clasica/patagonia-sueldo/productos.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
05:23:35	59979/59979	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Mar%202025%2008:23:35%20GMT	https://www.bancopatagonia.com.ar/personas/patagonia-plus/productos.php	/home/pablo/websites/bancopatagonia/www.bancopatagonia.com.ar/personas/patagonia-plus/productos.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
05:23:36	65309/65309	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Mar%202025%2008:23:36%20GMT	https://www.bancopatagonia.com.ar/personas/patagonia-plus/premium/productos.php	/home/pablo/websites/bancopatagonia/www.bancopatagonia.com.ar/personas/patagonia-plus/premium/productos.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
05:23:37	53854/53854	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Mar%202025%2008:23:37%20GMT	https://www.bancopatagonia.com.ar/personas/patagonia-singular/paquete/propuesta.php	/home/pablo/websites/bancopatagonia/www.bancopatagonia.com.ar/personas/patagonia-singular/paquete/propuesta.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
05:23:38	216/216	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Mar%202025%2008:23:38%20GMT	https://www.bancopatagonia.com.ar/personas/patagonia-singular/beneficios-exclusivos.php	/home/pablo/websites/bancopatagonia/www.bancopatagonia.com.ar/personas/patagonia-singular/beneficios-exclusivos.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
05:23:39	72961/72961	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Mar%202025%2008:23:39%20GMT	https://www.bancopatagonia.com.ar/patagoniaon/index.php	/home/pablo/websites/bancopatagonia/www.bancopatagonia.com.ar/patagoniaon/index.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
05:23:40	55981/55981	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Mar%202025%2008:23:40%20GMT	https://www.bancopatagonia.com.ar/personas/productos-y-servicios/patagonia-universitaria.php	/home/pablo/websites/bancopatagonia/www.bancopatagonia.com.ar/personas/productos-y-servicios/patagonia-universitaria.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
05:23:41	48732/48732	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Mar%202025%2008:23:41%20GMT	https://www.bancopatagonia.com.ar/personas/apple-pay.php	/home/pablo/websites/bancopatagonia/www.bancopatagonia.com.ar/personas/apple-pay.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
05:23:42	46388/46388	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Mar%202025%2008:23:42%20GMT	https://www.bancopatagonia.com.ar/personas/productos-y-servicios/caja-de-seguridad.php	/home/pablo/websites/bancopatagonia/www.bancopatagonia.com.ar/personas/productos-y-servicios/caja-de-seguridad.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
05:23:43	48496/48496	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Mar%202025%2008:23:43%20GMT	https://www.bancopatagonia.com.ar/personas/productos-y-servicios/comercio-exterior/productos.php	/home/pablo/websites/bancopatagonia/www.bancopatagonia.com.ar/personas/productos-y-servicios/comercio-exterior/productos.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
05:23:44	59367/59367	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Mar%202025%2008:23:44%20GMT	https://www.bancopatagonia.com.ar/personas/cuotifica-al-toque.php	/home/pablo/websites/bancopatagonia/www.bancopatagonia.com.ar/personas/cuotifica-al-toque.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
